book_id,chunks,tokens,loss,perplexity
2544,21,86016,5.642171814328148,282.0746675194198
3129,4,16384,5.901340007781982,365.52694879386667
3247,33,135168,5.450184431943026,232.80109790735003
3340,24,98304,5.514058689276378,248.1562751086723
3608,88,360448,5.448281461542303,232.35850556240555
3754,30,122880,5.737379535039266,310.2503446738404
3890,9,36864,5.708155632019043,301.31482007095
4047,38,155648,5.3066831137004655,201.68016756000878
4128,6,24576,5.6158873240153,274.7570696094513
860,17,69632,5.205728671130012,182.31367108848266
