context_length,baseline_overall_ppl,layerwise_overall_ppl,overall_change_percent,baseline_first_1024_ppl,layerwise_first_1024_ppl,first_1024_change_percent,baseline_extrapolated_ppl,layerwise_extrapolated_ppl,extrapolated_change_percent,peak_cuda_memory_gb
1024,149.0133183836135,149.0133183836135,0.0,149.0133183836135,149.0133183836135,0.0,,,,0.6270256042480469
2048,157.7153626735253,164.33812458667583,4.199186306827829,150.3903300947002,171.77136597419008,14.217028359487148,165.39716934269126,157.22655118467384,-4.939998786247957,1.0104789733886719
4096,241.16028785592746,243.80824348572133,1.0980064973947101,151.15650055668127,224.21353386319043,48.3320485969533,281.7942401525276,250.71321033247276,-11.029689536319665,1.7781028747558594
8192,358.10306158039856,346.51488440282975,-3.2359894178025983,149.4470452967387,299.20273730214325,100.20652580186713,405.7189268637302,353.858763764999,-12.782288344203764,3.312633514404297
