book_id,chunks,tokens,loss,perplexity
2544,86,88064,5.232413757679074,187.244220670696
3129,19,19456,5.586580151005795,266.8215681738234
3247,132,135168,4.976717573223692,144.99765548540663
3340,96,98304,5.037422155340512,154.07232813035375
3608,352,360448,4.860427185893059,129.07933120072877
3754,121,123904,5.399268371014555,221.24448809540073
3890,38,38912,5.2294881092874625,186.69721048755744
4047,154,157696,4.855488966037701,128.44348036224997
4128,25,25600,5.317772731781006,203.92917083795737
860,70,71680,4.702387768881661,110.21001456736157
