context_length,books,chunks,tokens,overall_loss,overall_perplexity,in_distribution_perplexity,extrapolated_perplexity,peak_cuda_memory_gb
1024,10,1093,1119232,5.00403568707577,149.0133183836135,149.0133183836135,,0.6270256042480469
2048,10,545,1116160,5.060791906304316,157.7153626735253,150.3903300947002,165.39716934269126,1.0104789733886719
4096,10,270,1105920,5.485461807250976,241.16028785592746,151.15650055668127,281.7942401525276,1.7781028747558594
8192,10,133,1089536,5.880820826480263,358.10306158039856,149.4470452967387,405.7189268637302,3.312633514404297
