book_id,chunk_index,loss,perplexity
2544,0,6.102855205535889,447.132604747313
2544,1,5.773560047149658,321.6808957387137
2544,2,5.94221305847168,380.77667882929535
2544,3,5.9577555656433105,386.7411343181527
2544,4,6.179612159729004,482.80466894269244
2544,5,6.042278289794922,420.8507634803907
2544,6,5.798447608947754,329.78720361983875
2544,7,6.055386543273926,426.40369708409247
2544,8,5.795478820800781,328.80958716481587
2544,9,5.859347820281982,350.4954834185727
3129,0,6.197818756103516,491.6754066098854
3129,1,6.211499214172363,498.44797166336144
3247,0,6.0640411376953125,430.1100635569406
3247,1,5.671457767486572,290.4576456299282
3247,2,5.7545294761657715,315.61700725667544
3247,3,5.664154529571533,288.3440916277736
3247,4,5.710509300231934,302.0248504452021
3247,5,5.444364547729492,231.45015744442816
3247,6,5.943131923675537,381.1267220665584
3247,7,5.729030609130859,307.67087043615726
3247,8,6.020073413848877,411.6088124046411
3247,9,5.801934242248535,330.9390575453919
3247,10,5.695839881896973,297.6266598860238
3247,11,5.971307754516602,392.0179989858526
3247,12,5.831912994384766,341.010406490313
3247,13,5.993937015533447,400.99021099846203
3247,14,6.035722255706787,418.1006762121852
3247,15,5.930324554443359,376.2766162569624
3340,0,6.05375337600708,425.70787687360814
3340,1,5.944731712341309,381.73693225026716
3340,2,5.977894306182861,394.60856788274424
3340,3,5.84124755859375,344.20849317655757
3340,4,5.7901105880737305,327.04919011613447
3340,5,5.670441627502441,290.162649906365
3340,6,5.865619659423828,352.7006426841141
3340,7,5.785845756530762,325.65735050441987
3340,8,5.925806522369385,374.5804210535071
3340,9,5.927676200866699,375.2814211304441
3340,10,6.016514301300049,410.14645420758353
3340,11,5.884636878967285,359.4722123733036
3608,0,6.184696197509766,485.2655163403482
3608,1,5.944391250610352,381.6069875553961
3608,2,5.855299949645996,349.07959065188714
3608,3,5.3997673988342285,221.3549228026135
3608,4,5.721454620361328,305.3487665998495
3608,5,5.493877410888672,243.19836103127037
3608,6,5.822268486022949,337.7373377137982
3608,7,5.92572021484375,374.54809333929734
3608,8,5.885197639465332,359.67384671915244
3608,9,5.924193382263184,373.9766574618673
3608,10,5.705832481384277,300.615632828542
3608,11,5.935645580291748,378.28413013822416
3608,12,6.049334526062012,423.8308877660872
3608,13,6.020087242126465,411.61450428491105
3608,14,5.941252708435059,380.4111754655127
3608,15,5.8306355476379395,340.57506197982457
3608,16,5.837780475616455,343.01716018777194
3608,17,5.9731974601745605,392.7594980033453
3608,18,5.998983860015869,403.01906157266626
3608,19,4.436095237731934,84.44456112882617
3608,20,5.754288196563721,315.5408644969809
3608,21,5.92999267578125,376.1517587968854
3608,22,5.924602508544922,374.12969244437363
3608,23,5.801923751831055,330.93558587472734
3608,24,5.860693454742432,350.96743968838723
3608,25,6.074862003326416,434.78949887171814
3608,26,6.038288593292236,419.1750416946539
3608,27,5.740424156188965,311.19637886199547
3608,28,5.843074798583984,344.8380196731072
3608,29,5.627065658569336,277.8456263540635
3608,30,5.53780460357666,254.11949358466123
3608,31,5.939587593078613,379.7782740486482
3608,32,5.873077392578125,355.34082260252165
3608,33,5.797046184539795,329.32535548146905
3608,34,5.733575344085693,309.0723352263972
3608,35,5.847666263580322,346.4249717994623
3608,36,5.647237777709961,283.50727315599505
3608,37,5.842085838317871,344.4971571509322
3608,38,5.678369045257568,292.47203207349236
3608,39,5.84788703918457,346.5014624252593
3608,40,5.886343955993652,360.0863831979691
3608,41,5.767589092254639,319.7658765558173
3608,42,5.942439556121826,380.86293362016573
3608,43,5.815123558044434,335.33282901010455
3754,0,6.387999534606934,594.665780694326
3754,1,6.1792426109313965,482.62628202117173
3754,2,6.153843879699707,470.52254721747994
3754,3,6.082437515258789,438.0957594048216
3754,4,6.004054546356201,405.0678347764133
3754,5,6.043593406677246,421.4045955214939
3754,6,5.945446968078613,382.0100694510307
3754,7,5.987388610839844,398.37294363432835
3754,8,6.066231727600098,431.0532910552452
3754,9,6.159801483154297,473.3341007147828
3754,10,6.0472846031188965,422.9629570047786
3754,11,5.860048294067383,350.741082324364
3754,12,5.945474624633789,382.0206346796924
3754,13,6.074841499328613,434.7805840401838
3754,14,6.0705108642578125,432.901779140352
3890,0,6.047512054443359,423.0591714311827
3890,1,6.137474060058594,462.88287858133697
3890,2,6.110899925231934,450.7441687519086
3890,3,6.047440528869629,423.0289129633642
4047,0,5.757469654083252,316.54634294845084
4047,1,5.56212043762207,260.3743589681973
4047,2,5.781723976135254,324.31782493301847
4047,3,5.508662700653076,246.8208329270979
4047,4,5.83543586730957,342.21386138310714
4047,5,5.734333515167236,309.3067537865283
4047,6,5.689067840576172,295.61792912773694
4047,7,5.540083885192871,254.6993640677339
4047,8,5.633764266967773,279.71305299730085
4047,9,5.793940544128418,328.30417587808967
4047,10,5.704195976257324,300.1240761314085
4047,11,5.667581558227539,289.3339502607374
4047,12,5.564412593841553,260.9718621982667
4047,13,5.484825134277344,241.00679648542464
4047,14,5.651666164398193,284.7655369735502
4047,15,5.703597545623779,299.9445264197693
4047,16,5.585231304168701,266.4619093623787
4047,17,5.871312618255615,354.71427925946546
4047,18,5.705715656280518,300.58051542738195
4128,0,5.914375305175781,370.32289163751796
4128,1,5.8588151931762695,350.30884973116656
4128,2,5.918712615966797,371.932585459271
860,0,5.708199501037598,301.32803874632555
860,1,5.664538860321045,288.45493242702554
860,2,5.720468521118164,305.0478108227236
860,3,5.705535888671875,300.5264856434671
860,4,5.680888652801514,293.20987596006387
860,5,5.672834873199463,290.85791205441177
860,6,5.6133928298950195,274.07254384251064
