book_id,chunks,tokens,loss,perplexity
2544,21,86016,5.648701349894206,283.92251030566706
3129,4,16384,5.9489405155181885,383.34697366046356
3247,33,135168,5.464471990411932,236.15113212229832
3340,24,98304,5.56488710641861,261.0957260142829
3608,88,360448,5.40944089401852,223.50658886927363
3754,30,122880,5.806793324152628,332.55103071444927
3890,9,36864,5.7391372256808815,310.79614833770705
4047,38,155648,5.329001100439775,206.23186631236487
4128,6,24576,5.660373687744141,287.2559665361032
860,17,69632,5.25698081184836,191.90122985932095
