context_length,books,chunks,tokens,overall_loss,overall_perplexity,first_1024_perplexity,extrapolated_perplexity,peak_cuda_memory_gb
1024,10,1093,1119232,5.00403568707577,149.0133183836135,149.0133183836135,,0.6270256042480469
2048,10,545,1116160,5.101926040649414,164.33812458667583,171.77136597419008,157.22655118467384,1.0104789733886719
4096,10,270,1105920,5.496382028968246,243.80824348572133,224.21353386319043,250.71321033247276,1.7781028747558594
8192,10,133,1089536,5.84792577413688,346.51488440282975,299.20273730214325,353.858763764999,3.312633514404297
