book_id,chunks,tokens,loss,perplexity
2544,43,88064,5.287246626476909,197.79806301110943
3129,9,18432,5.612827883826362,273.9177513651576
3247,66,135168,5.044664505756263,155.19222436549782
3340,48,98304,5.1066988209883375,165.12434910261604
3608,176,360448,4.928830450231379,138.21776521741353
3754,60,122880,5.424442013104756,226.88471229231067
3890,19,38912,5.261703968048096,192.80975320273927
4047,77,157696,4.916502661519236,136.52430556476222
4128,12,24576,5.317374149958293,203.84790457404407
860,35,71680,4.768653774261475,117.7606028480629
