book_id,chunks,tokens,loss,perplexity
2544,10,81920,5.950693511962891,384.01956889866824
3129,2,16384,6.2046589851379395,495.050107707751
3247,16,131072,5.828891962766647,339.9817578425841
3340,12,98304,5.890356540679932,361.53416303198424
3608,44,360448,5.80992637981068,333.59456547544914
3754,15,122880,6.067213344573974,431.47662802577554
3890,4,32768,6.085831642150879,439.58523831342586
4047,19,155648,5.6723758546929615,290.72443352691727
4128,3,24576,5.897301038106282,364.0535739930713
860,8,65536,5.681999146938324,293.5356646679172
