book_id,chunks,tokens,loss,perplexity
2544,10,81920,5.9697528839111325,391.40893535269186
3129,2,16384,6.184844017028809,485.33725335751683
3247,16,131072,5.827924996614456,339.6531658846419
3340,12,98304,5.884014328320821,359.2484923608494
3608,44,360448,5.927591995759443,375.24982184855577
3754,15,122880,6.041906929016113,420.69450502902816
3890,4,32768,6.12846565246582,458.7317664706328
4047,19,155648,5.65660918386359,286.176623206102
4128,3,24576,5.9415303866068525,380.5168220124371
860,8,65536,5.621287643909454,276.24485933298837
