book_id,chunks,tokens,loss,perplexity
2544,43,88064,5.317335372747377,203.8400000741118
3129,9,18432,5.684552457597521,294.28611006177573
3247,66,135168,5.078172026258526,160.48043362475156
3340,48,98304,5.158582826455434,173.91780915791335
3608,176,360448,4.954995708032087,141.88199741867135
3754,60,122880,5.511086853345235,247.41989012341256
3890,19,38912,5.334138820045872,207.29415434766022
4047,77,157696,4.955799183288178,141.99604190270716
4128,12,24576,5.372995138168335,215.50737639482796
860,35,71680,4.79446849822998,120.84013796449749
