book_id,chunk_index,loss,perplexity
2544,0,5.213137626647949,183.66944118625364
2544,1,5.2678937911987305,194.00691275742548
2544,2,5.5978312492370605,269.84055546180406
2544,3,5.508495807647705,246.7796436936956
2544,4,5.474099636077881,238.43569136283367
2544,5,5.113786220550537,166.2988083569497
2544,6,5.324106693267822,205.22494972675463
2544,7,5.499319553375244,244.5254890990732
2544,8,5.060829162597656,157.72123867279961
2544,9,5.081378936767578,160.99590610913194
2544,10,5.428103446960449,227.7169583363938
2544,11,4.98503303527832,146.20840498172862
2544,12,5.174935340881348,176.78518313274031
2544,13,4.911891937255859,135.89627857877542
2544,14,5.291862487792969,198.71318184455907
2544,15,4.989416122436523,146.85065565615338
2544,16,5.380362033843994,217.10085905766093
2544,17,4.995055198669434,147.68109695854523
2544,18,4.96998405456543,144.02459081792045
2544,19,5.364584445953369,213.7024113249649
2544,20,5.636706829071045,280.53733818725436
2544,21,5.430027961730957,228.15562496101361
2544,22,5.462876796722412,235.77472562701524
2544,23,5.215172290802002,184.04352725513237
2544,24,4.884544372558594,132.23020389747668
2544,25,4.790623188018799,120.37636239998353
2544,26,4.979748249053955,145.4377629499934
2544,27,5.74127721786499,311.46196182974063
2544,28,5.443521499633789,231.25511605613175
2544,29,5.2740278244018555,195.2006149635116
2544,30,4.878401756286621,131.4204540328212
2544,31,5.148540496826172,172.1800095725821
2544,32,5.923527717590332,373.7277972504388
2544,33,5.3270673751831055,205.83345587605604
2544,34,5.58574104309082,266.59776999262675
2544,35,5.176111698150635,176.9932680351186
2544,36,5.330714702606201,206.58556865125914
2544,37,5.333227634429932,207.1053569237611
2544,38,5.184584617614746,178.49928892793315
2544,39,5.12558650970459,168.2728063490582
2544,40,5.272832870483398,194.9674985332109
2544,41,5.231475830078125,187.06868148240417
2544,42,5.791677474975586,327.5620408930459
2544,43,5.318043231964111,203.98434117746658
2544,44,5.342067718505859,208.94430193010845
2544,45,5.563204765319824,260.6568432224841
2544,46,5.329318046569824,206.29724106387548
2544,47,5.496809959411621,243.91259878226631
2544,48,4.716500282287598,111.77638156626645
2544,49,5.128946781158447,168.83919974151868
2544,50,4.850958824157715,127.8629291551661
2544,51,5.192100524902344,179.84592729982765
2544,52,5.124983787536621,168.1714151568343
2544,53,5.174347400665283,176.68127456297896
2544,54,5.0762200355529785,160.16748284776656
2544,55,5.525400638580322,250.98687290486328
2544,56,5.442732810974121,231.07279967349035
2544,57,5.39450740814209,220.19365477596585
2544,58,5.382044315338135,217.4663911929822
2544,59,5.230228424072266,186.8354763665852
2544,60,5.288495063781738,198.04515569956732
2544,61,5.105064868927002,164.85476413645685
2544,62,5.626610279083252,277.7191299596412
2544,63,5.407740592956543,223.12688327724925
2544,64,4.710044860839844,111.05714191060663
