chunk_index,loss,perplexity
0,5.234256744384766,187.58962747241404
1,4.81240177154541,123.02674509658101
2,4.9097490310668945,135.60537740063847
3,4.801913738250732,121.74317930413018
4,4.718222141265869,111.96901052478371
5,4.888838768005371,132.79927371387743
6,4.616273880004883,101.11655688281273
7,4.78278923034668,119.43702324779933
8,4.72672700881958,112.92535314852336
9,4.772336006164551,118.19502402570178
10,4.492397308349609,89.33535376412716
11,4.974288463592529,144.6458677224716
12,4.809804916381836,122.70767692454145
13,4.829407691955566,125.13681915498908
14,4.781989097595215,119.34149599609916
15,4.710409164428711,111.09760779646018
16,4.6966986656188965,109.58479855941783
17,4.605907917022705,100.07380032250838
18,4.543869972229004,94.05408340877175
19,4.807367324829102,122.40892998724574
20,4.508768558502197,90.80992252098285
21,4.712141036987305,111.2901814030672
22,4.707545280456543,110.77989230545094
23,5.080625057220459,160.87458032660547
24,4.691556930541992,109.0227886479817
25,4.580704689025879,97.58313574837716
26,4.853625297546387,128.2043272152965
27,4.763089179992676,117.10713270667458
28,4.778909683227539,118.97455934363396
29,4.566943168640137,96.24944131582485
30,4.577165126800537,97.2383447318568
31,4.9851975440979,146.23245953238344
32,4.976823329925537,145.01299077011623
33,5.076888084411621,160.2745183003499
34,4.527250289916992,92.50385227958597
