book_id,chunks,tokens,loss,perplexity
2544,1,8192,6.0890607833862305,441.00701545706914
3129,1,8192,6.1254425048828125,457.3470468001685
3247,1,8192,6.063340663909912,429.8088882276082
3340,1,8192,6.096840858459473,444.45146480818534
3608,1,8192,6.230975151062012,508.25086329057785
3754,1,8192,6.431466102600098,621.0838534948203
3890,1,8192,6.065512657165527,430.7434447919176
4047,1,8192,5.758758544921875,316.95459967253475
4128,1,8192,5.980068206787109,395.46734079217714
860,1,8192,5.670557022094727,290.1961350390118
